AUSTRALIAN BUREAU OF STATISTICS 1996 Census of Population and Housing												
Australia 7688965.4635 sq. Kms												
												
B14 DWELLING STRUCTURE BY TENURE TYPE												
All private dwellings												
												
				    Occupied private dwelling								
			Being			Being 						
			purchased			occupied						
			under a		Being	under a				Unoccupied		
	Fully	Being	rent/buy		occupied	life tenure		Not		private		
	owned	Purchased	scheme	Rented	rent free	scheme	Other	stated	Total	dwelling	Total	
												
Separate house	2,278,441	1,458,242	24,447	900,972	69,884	10,696	28,481	140,746	4,911,909	454,569	5,366,478	
Semi-detached, row or terrace house,												
  townhouse etc. with:												
    1 storey	98,458	48,062	1,347	182,288	3,689	6,531	2,049	15,633	358,057	36,903	394,960	
    2 or more storeys	36,189	25,347	544	87,010	1,675	746	742	6,871	159,124	19,979	179,103	
    Total	134,647	73,409	1,891	269,298	5,364	7,277	2,791	22,504	517,181	56,882	574,063	
Flat, unit or apartment:												
    In a 1 or 2 storey block	73,311	30,272	1,294	304,395	5,040	7,164	2,392	25,771	449,639	62,546	512,185	
    In a 3 storey block	34,926	18,819	654	128,931	1,766	696	734	12,785	199,311	24,334	223,645	
    In a 4 or more storey block	31,614	12,519	455	87,734	1,838	933	812	11,497	147,402	24,186	171,588	
    Attached to a house	3,493	1,072	50	12,194	1,829	201	245	1,268	20,352	3,086	23,438	
    Total	143,344	62,682	2,453	533,254	10,473	8,994	4,183	51,321	816,704	114,152	930,856	
Other dwelling:												
    Caravan, cabin, houseboat	52,880	3,731	342	21,431	2,258	158	1,638	10,194	92,632	5,444	98,076	
    Improvised home, tent, sleepers out	3,748	793	28	1,380	612	22	689	4,097	11,369	3,777	15,146	
    House or flat attached to a shop, office, etc.	5,136	3,571	144	16,841	2,101	52	512	1,666	30,023	4,589	34,612	
    Total	61,764	8,095	514	39,652	4,971	232	2,839	15,957	134,024	13,810	147,834	
Not stated	39,775	23,865	464	30,332	1,761	1,254	1,073	17,730	116,254	39,752	156,006	1,957
												
Total	2,657,971	1,626,293	29,769	1,773,508	92,453	28,453	39,367	248,258	6,496,072	679,165	7,175,237	
