AUSTRALIAN BUREAU OF STATISTICS 1996 Census of Population and Housing													
Australia 7688965.4635 sq. Kms													
													
B31 WEEKLY HOUSEHOLD INCOME BY WEEKLY RENT													
Rented occupied private dwellings													
													
						     Weekly rent							
	$0-	$100-	$200-	$300-	$400-	$500-	$600-	$700-	$800-	$900-	$1,000	Not	
	$99	$199	$299	$399	$499	$599	$699	$799	$899	$999	or more	stated	Total
													
Negative income	1,249	1,443	403	121	45	27	15	9	7	3	23	406	3,751
Nil income	4,177	6,227	1,766	543	149	70	30	21	18	8	30	1,014	14,053
$1-$39	992	850	181	46	21	8	5	4	0	3	14	200	2,324
$40-$79	2,135	1,330	268	61	16	9	6	3	0	0	4	276	4,108
$80-$119	6,525	3,496	438	88	34	11	10	5	3	0	18	521	11,149
$120-$159	48,271	14,354	1,086	242	71	30	20	9	10	4	51	2,632	66,780
$160-$199	101,398	29,504	1,766	414	139	53	37	24	10	11	101	3,919	137,376
$200-$299	109,099	76,552	4,789	754	225	140	76	42	36	16	156	4,718	196,603
$300-$399	78,975	104,401	7,722	1,116	281	117	66	38	24	21	169	4,203	197,133
$400-$499	61,006	105,566	10,558	1,609	413	186	102	45	22	27	168	3,827	183,529
$500-$599	41,122	97,567	11,000	1,693	345	146	81	30	32	21	119	3,015	155,171
$600-$699	32,116	89,789	12,204	2,030	466	196	101	59	31	22	113	2,645	139,772
$700-$799	21,857	68,512	11,361	1,805	390	146	71	42	20	18	67	1,829	106,118
$800-$999	31,336	104,094	22,709	3,699	882	327	165	90	42	30	168	2,942	166,484
$1,000-$1,199	19,611	64,855	21,223	4,296	1,041	402	191	91	40	32	124	2,168	114,074
$1,200-$1,499	14,200	44,403	19,379	4,275	916	321	137	73	48	27	97	1,459	85,335
$1,500-$1,999	8,062	25,298	17,595	4,974	1,134	344	164	66	39	25	89	985	58,775
$2,000 or more	8,413	13,662	14,853	9,075	3,794	1,706	935	491	285	189	605	1,533	55,541
Partial income stated(a)	32,813	59,421	16,670	5,078	1,617	647	297	150	98	53	241	4,816	121,901
All incomes not stated(b)	16,410	13,920	2,672	986	422	271	141	117	70	75	176	8,824	44,084
													
Total	639,767	925,244	178,643	42,905	12,401	5,157	2,650	1,409	835	585	2,533	51,932	1,864,061
													
(a)  Comprises households where at least one, but not all, member(s) aged 15 years and over did not state an income and/or at least one spouse, child or co-tenant was temporaily absent.													
(b)  Comprises households where no members present stated an income.													
