AUSTRALIAN BUREAU OF STATISTICS 1996 Census of Population and Housing													
Western Australia 2527516.8002 sq. Kms													
													
B31 WEEKLY HOUSEHOLD INCOME BY WEEKLY RENT													
Rented occupied private dwellings													
													
						     Weekly rent							
	$0-	$100-	$200-	$300-	$400-	$500-	$600-	$700-	$800-	$900-	$1,000	Not	
	$99	$199	$299	$399	$499	$599	$699	$799	$899	$999	or more	stated	Total
													
Negative income	116	131	24	3	6	3	3	0	0	0	3	46	335
Nil income	604	675	109	26	8	4	3	3	0	0	0	108	1,540
$1-$39	111	99	11	3	3	0	0	0	0	0	0	18	245
$40-$79	220	161	16	3	0	3	0	0	0	0	0	30	433
$80-$119	695	358	18	0	0	0	0	0	0	0	3	50	1,124
$120-$159	4,853	1,414	57	20	4	0	0	3	0	0	10	259	6,620
$160-$199	10,026	2,773	75	26	7	3	6	4	0	3	15	418	13,356
$200-$299	10,998	7,172	171	45	11	16	8	0	3	0	16	417	18,857
$300-$399	7,946	9,798	259	42	9	12	0	3	0	3	20	355	18,447
$400-$499	6,478	9,761	353	64	13	10	8	4	0	3	21	374	17,089
$500-$599	4,789	8,809	390	43	13	11	4	3	0	0	14	331	14,407
$600-$699	3,879	8,199	426	76	17	10	4	0	0	0	9	247	12,867
$700-$799	2,793	6,233	373	60	13	8	4	0	3	3	8	189	9,687
$800-$999	4,417	9,988	827	125	25	14	7	3	4	0	20	350	15,780
$1,000-$1,199	3,154	6,574	963	139	39	19	14	6	3	3	15	272	11,201
$1,200-$1,499	2,346	4,749	861	142	36	13	9	4	4	0	9	178	8,351
$1,500-$1,999	1,576	2,845	796	127	41	17	12	4	0	0	4	129	5,551
$2,000 or more	1,520	1,857	1,183	435	179	67	39	22	4	4	21	218	5,549
Partial income stated(a)	4,119	6,860	1,114	209	54	19	17	3	4	4	21	516	12,940
All incomes not stated(b)	1,840	1,365	141	71	33	15	7	4	6	3	14	805	4,304
													
Total	72,480	89,821	8,167	1,659	511	244	145	66	31	26	223	5,310	178,683
													
(a)  Comprises households where at least one, but not all, member(s) aged 15 years and over did not state an income and/or at least one spouse, child or co-tenant was temporaily absent.													
(b)  Comprises households where no members present stated an income.													
