AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing																																																																																																																																																																																																																																																														
Australia  7703580.5 sq. Kms																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
B19 DWELLING STRUCTURE BY TENURE TYPE AND LANDLORD TYPE																																																																																																																																																																																																																																																														
Occupied private dwellings																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
					               Rented																																																																																																																																																																																																																																																									
			Being 																																																																																																																																																																																																																																																											
			purchased	State/																																																																																																																																																																																																																																																										
			under a	Territory				Other																																																																																																																																																																																																																																																						
	Fully	Being 	rent/buy 	Housing		Not		tenure	Not																																																																																																																																																																																																																																																					
	owned	purchased	scheme	Authority	Other	stated(a)	Total	type(b)	stated(c)	Total																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																														
Separate house	2,402,256	1,630,981	39,238	148,787	777,499	9,898	936,184	126,187	192,463	5,327,309																																																																																																																																																																																																																																																				
Semi-detached, row or terrace house, townhouse	171,450	98,443	3,499	76,758	224,932	3,623	305,313	21,670	31,801	632,176																																																																																																																																																																																																																																																				
Flat, unit or apartment	158,393	79,043	4,606	89,773	469,060	7,400	566,233	32,314	82,550	923,139																																																																																																																																																																																																																																																				
Other dwelling	60,747	6,617	543	231	34,918	1,082	36,231	11,563	18,573	134,274																																																																																																																																																																																																																																																				
Not stated	18,071	8,845	317	1,622	12,346	395	14,363	4,292	9,416	55,304																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																														
Total	2,810,917	1,823,929	48,203	317,171	1,518,755	22,398	1,858,324	196,026	334,803	7,072,202	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|
																																																																																																																																																																																																																																																														
(a) Includes rented dwellings where the landlord type was not stated.																																																																																																																																																																																																																																																														
(b) Includes dwellings being occupied rent-free and dwellings being occupied under a life tenure scheme.																																																																																																																																																																																																																																																														
(c) Includes dwellings where the tenure type was not stated.																																																																																																																																																																																																																																																														
