AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing																																																																																																																																																																																																																																																														
Western Australia (STATE 5) ,  2532422.2 sq. Kms																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
B19 DWELLING STRUCTURE BY TENURE TYPE AND LANDLORD TYPE																																																																																																																																																																																																																																																														
Occupied private dwellings																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																														
					               Rented																																																																																																																																																																																																																																																									
			Being 																																																																																																																																																																																																																																																											
			purchased	State/																																																																																																																																																																																																																																																										
			under a	Territory				Other																																																																																																																																																																																																																																																						
	Fully	Being 	rent/buy 	Housing		Not		tenure	Not																																																																																																																																																																																																																																																					
	owned	purchased	scheme	Authority	Other	stated(a)	Total	type(b)	stated(c)	Total																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																														
Separate house	210,344	195,337	4,803	13,665	86,574	907	101,146	13,429	19,551	544,610																																																																																																																																																																																																																																																				
Semi-detached, row or terrace house, townhouse	20,736	13,360	428	10,104	27,013	411	37,528	3,273	3,892	79,217																																																																																																																																																																																																																																																				
Flat, unit or apartment	7,907	4,561	225	5,466	24,002	403	29,871	2,936	4,166	49,666																																																																																																																																																																																																																																																				
Other dwelling	9,264	752	56	27	3,038	86	3,151	1,626	2,557	17,406																																																																																																																																																																																																																																																				
Not stated	1,398	970	24	137	1,036	19	1,192	248	918	4,750																																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																																														
Total	249,649	214,980	5,536	29,399	141,663	1,826	172,888	21,512	31,084	695,649	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|
																																																																																																																																																																																																																																																														
(a) Includes rented dwellings where the landlord type was not stated.																																																																																																																																																																																																																																																														
(b) Includes dwellings being occupied rent-free and dwellings being occupied under a life tenure scheme.																																																																																																																																																																																																																																																														
(c) Includes dwellings where the tenure type was not stated.																																																																																																																																																																																																																																																														
