AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing					
Western Australia (STATE 5) ,  2532422.2 sq. Kms					
					
B21  WEEKLY RENT BY LANDLORD TYPE					
Occupied private dwellings being rented					
					
		State/Territory			
	Real Estate Agent	housing authority	Other	Not Stated	Total
					
$1-$49	137	7,550	5,083	112	12,882
$50-$99	3,657	14,313	14,317	309	32,596
$100-$149	22,062	4,215	29,382	444	56,103
$150-$199	22,599	940	17,143	255	40,937
$200-$249	7,341	177	4,786	74	12,378
$250-$299	2,888	48	1,863	28	4,827
$300-$349	1,205	36	855	13	2,109
$350-$399	637	13	490	8	1,148
$400-$499	532	70	510	7	1,119
$500 or more	794	186	1,262	65	2,307
Not stated	1,076	1,851	3,044	511	6,482
					
Total	62,928	29,399	78,735	1,826	172,888
