AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing			
Australia  7703580.5 sq. Kms			
			
B31 WEEKLY HOUSEHOLD INCOME BY HOUSEHOLD TYPE			
Occupied private dwellings(a) 			
			
	Family	Non-Family	
	Households	Households	Total
			
Negative/Nil income	23,587	25,186	48,773
$1-$199            	42,627	233,680	276,307
$200-$299         	78,065	430,932	508,997
$300-$399         	448,727	145,443	594,170
$400-$499       	352,802	151,251	504,053
$500-$599       	235,683	130,261	365,944
$600-$699      	309,494	108,190	417,684
$700-$799       	229,574	94,625	324,199
$800-$999       	491,668	138,195	629,863
$1,000-$1,199 	414,260	132,149	546,409
$1,200-$1,499  	512,913	29,953	542,866
$1,500-$1,999   	591,340	86,220	677,560
$2,000 or more  	521,467	27,388	548,855
Partial income stated(b)	501,667	24,082	525,749
All incomes not stated(c)	112,157	121,209	233,366
			
Total	4,866,031	1,878,764	6,744,795
			
(a)  Excludes 'Other not classifiable households' and 'Visitor only households'.			
(b)  Includes families where at least one, but not all, member(s) aged 15 years and over did not state an income and/or at least one family 			
        member aged 15 years and over was temporarily absent.			
(c)  Includes households where no members present stated an income.			
