AUSTRALIAN BUREAU OF STATISTICS  2006 Census of Population and Housing			List of tables
Western Australia (STE 5) 2576847.2 sq. Kms			Concepts and Definitions
			Census Dictionary
B28 GROSS HOUSEHOLD INCOME (WEEKLY) BY HOUSEHOLD COMPOSITION 			Census Data Quality Statement
Count of occupied private dwellings(a) 			© Commonwealth of Australia 2007
			
			
			
		Non-family	
	Family households	households(b)	Total
			
Negative/Nil income	3,612	4,005	7,617
$1-$149	4,326	4,413	8,739
$150-$249	3,661	28,572	32,233
$250-$349	9,702	35,883	45,585
$350-$499	28,832	1,017	29,849
$500-$649	42,257	25,312	67,569
$650-$799	23,439	20,500	43,939
$800-$999	30,761	17,781	48,542
$1,000-$1,199	55,231	19,063	74,294
$1,200-$1,399	35,115	2,282	37,397
$1,400-$1,699	45,020	9,873	54,893
$1,700-$1,999	39,624	6,352	45,976
$2,000-$2,499	42,407	1,903	44,310
$2,500 -$2,999	35,144	6,451	41,595
$3,000 or more	33,736	896	34,632
Partial income stated(c)	61,336	5,429	66,765
All incomes not stated(d)	10,092	9,139	19,231
			
Total	504,295	198,871	703,166
			
			
(a) Excludes 'Visitors only' and 'Other non classifiable' households. 			
(b) Comprises 'Lone person' and 'Group households'. 			
(c) Comprises households where at least one, but not all, member(s) aged 15 years and over did not state an income and/or was temporarily absent on Census Night. 			
(d) Comprises households where no members present stated an income.			
